world,district,ward_number,plot_number,house_size,lotto_entries
Goblin,The Goblet,21,8,2,29
Exodus,Shirogane,7,6,1,6
Goblin,Shirogane,14,49,2,93
Lamia,Mist,8,59,2,62
Malboro,The Lavender Beds,30,55,1,10
Malboro,The Lavender Beds,26,51,2,64
Malboro,The Lavender Beds,15,49,1,7
Malboro,The Goblet,26,8,2,51
Excalibur,The Goblet,10,46,1,7
Sargatanas,The Goblet,15,56,1,2
Sargatanas,The Goblet,12,9,1,1
Zalera,Mist,5,18,1,15
Sargatanas,Mist,21,44,2,108
Exodus,Mist,22,24,1,6
Exodus,Mist,22,19,1,15
Exodus,The Goblet,19,19,2,53
Exodus,The Goblet,14,6,2,16
Exodus,The Goblet,9,8,2,20
Adamantoise,Shirogane,18,57,1,8
Diabolos,Empyreum,20,7,2,24
Brynhildr,Shirogane,6,44,1,6
Gilgamesh,Empyreum,26,41,1,12
Brynhildr,The Lavender Beds,23,54,1,6
Faerie,The Lavender Beds,19,15,1,19
Sargatanas,Shirogane,14,40,1,8
Zalera,Empyreum,21,53,1,6
Ultros,Empyreum,27,42,3,165
Gilgamesh,The Goblet,29,58,1,7
Famfrit,The Goblet,16,10,1,4
Famfrit,The Lavender Beds,11,10,1,12
Famfrit,The Lavender Beds,9,59,1,21
Leviathan,The Goblet,26,34,2,35
Leviathan,Mist,20,18,1,8
Behemoth,Shirogane,27,5,1,4
Behemoth,Shirogane,23,9,1,12
Behemoth,Mist,26,12,1,1
Behemoth,Mist,26,2,3,152
Behemoth,Mist,1,1,2,43
Mateus,Mist,27,44,2,63
Mateus,The Goblet,24,58,1,11
Mateus,The Goblet,22,31,1,10
Mateus,The Goblet,14,54,1,8
Balmung,The Lavender Beds,30,42,1,26
Cactuar,Shirogane,21,36,1,19
Diabolos,The Lavender Beds,20,19,1,8
Cactuar,Empyreum,17,51,2,104
Cactuar,Mist,23,42,1,8
Cactuar,Mist,20,51,1,18
Coeurl,Shirogane,18,19,2,107
Coeurl,Shirogane,8,48,1,10
Coeurl,The Lavender Beds,8,54,1,8
Gilgamesh,Shirogane,3,28,2,48
Gilgamesh,The Goblet,27,52,1,7
Gilgamesh,The Lavender Beds,26,42,1,13
Gilgamesh,The Lavender Beds,12,53,1,13
Ultros,Shirogane,14,53,1,18
